sample_id;site;OD_cor
4106477;Hornoya;1.03231329880456
4106540;Hornoya;0.740576076724012
4220625;Hornoya;0.83823927423729
4220626;Hornoya;1.2242361312488
4220627;Hornoya;1.06838150523086
4220628;Hornoya;0.929825877994251
4220633;Hornoya;0.803065676810463
4220636;Hornoya;0.766964086066539
4220643;Hornoya;0.798599658568989
4220647;Hornoya;0.865290896826231
4220738;Hornoya;2.33214000719648
4250435;Hornoya;1.53464961022194
4250454;Hornoya;0.747996122608809
4250461;Hornoya;0.835881090373396
4250470;Hornoya;2.89600812073369
4255243;Hornoya;1.07966633264971
4255246;Hornoya;0.881989721536232
4255250;Hornoya;0.910295142065585
4259240;Hornoya;0.800996990504596
4269067;Hornoya;1.27461001918949
4269074;Hornoya;0.874984861327464
4269075;Hornoya;0.837557241300787
4269076;Hornoya;1.0239853230891
4269077;Hornoya;0.779653512046927
4269078;Hornoya;1.18701924511671
4269089;Hornoya;1.51849423016757
4269092;Hornoya;0.80786043039767
4271775;Hornoya;0.838991781079526
4271776;Hornoya;0.918834596318372
4271777;Hornoya;2.00296852610582
4271778;Hornoya;0.824729036642258
4271782;Hornoya;0.936954701780278
4271783;Hornoya;0.964262608070008
4271784;Hornoya;0.849712685669051
4271785;Hornoya;1.09168153596916
4271786;Hornoya;0.680642612857661
4271787;Hornoya;0.626840225276134
4271788;Hornoya;0.697317615977986
4271789;Hornoya;0.68727539393107
JJ??????TM;Hornoya;2.8326008227387
JK??????TM;Hornoya;0.691185804022025
JN??????TM;Hornoya;0.694575397824321
JO??????TM;Hornoya;1.0726224609369
JX??????TM;Hornoya;3.27377167532917
SI??????TM;Hornoya;0.887232190821475
SK???????TM;Hornoya;1.09626763906648
SY??????TM;Hornoya;0.771554701878284
4186266;Ossian;3.15467538447252
4186267;Ossian;1.96275744697903
4186269;Ossian;4.12191824966678
4186270;Ossian;3.99889749390515
4186271;Ossian;3.0151494755
4186272;Ossian;3.07589158100195
4186273;Ossian;3.35090604486666
4186274;Ossian;1.96984019952572
4186275;Ossian;3.2140758695
4186276;Ossian;3.48822853843701
4186277;Ossian;2.8501199755
4186280;Ossian;1.77363789421777
4186281;Ossian;3.53160233732492
4186282;Ossian;3.54039250717778
4186283;Ossian;5.63463158284366
4186284;Ossian;3.98253025487986
